News,Label,Cleaned Data
"['larg', 'doe', 'meet', 'event', 'need', 'order', 'œmass', 'gathering\x9d']",1,larg doe meet event need order œmass gathering
"['doe', 'recommend', 'intern', 'mass', 'gather', 'cancel', 'becaus', 'covid19']",1,doe recommend intern mass gather cancel becaus covid19
"['factor', 'organ', 'health', 'author', 'look', 'assess', 'whether', 'risk', 'accept']",1,factor organ health author look assess whether risk accept
"['organ', 'doe', 'expertis', 'assess', 'risk', 'covid19', 'pose', 'plan', 'mass', 'gather']",1,organ doe expertis assess risk covid19 pose plan mass gather
"['go', 'ahead', 'intern', 'mass', 'gather', 'reduc', 'risk', 'particip', 'catch', 'covid19']",1,go ahead intern mass gather reduc risk particip catch covid19
"['find', 'advic', 'assess', 'manag', 'health', 'risk', 'around', 'intern', 'mass', 'gather']",1,find advic assess manag health risk around intern mass gather
"['criteria', 'exclud', 'athlet', 'accredit', 'particip', 'compet']",1,criteria exclud athlet accredit particip compet
"['event', 'organ', 'arrang', 'screen', 'venu', 'beyond', 'nation', 'govern', 'requir', 'point', 'entri', 'poe']",1,event organ arrang screen venu beyond nation govern requir point entri poe
"['event', 'organ', 'provid', 'covid19', 'test']",1,event organ provid covid19 test
"['addit', 'safeguard', 'event', 'organ', 'implement', 'recommend', 'athletesofficialsvisitor', 'context', 'covid19']",1,addit safeguard event organ implement recommend athletesofficialsvisitor context covid19
"['risk', 'aris', 'public', 'transport', 'venu']",1,risk aris public transport venu
['coronaviru'],1,coronaviru
['covid19'],1,covid19
"['symptom', 'covid19']",1,symptom covid19
"['doe', 'covid19', 'spread']",1,doe covid19 spread
"['viru', 'caus', 'covid19', 'transmit', 'air']",1,viru caus covid19 transmit air
"['covid19', 'caught', 'person', 'ha', 'symptom']",1,covid19 caught person ha symptom
"['catch', 'covid19', 'fece', 'someon', 'diseas']",1,catch covid19 fece someon diseas
"['protect', 'prevent', 'spread', 'diseas']",1,protect prevent spread diseas
"['like', 'catch', 'covid19']",1,like catch covid19
